board_id,circuit_number,program_name,component_number_name,pin_id,component_id,terminal_id,segment_id,address,connector_type,class,angle,start_x,start_y,end_x,end_y,output_path,prediction,probability,model,threshold,error,date,time
E21381615741400035442,L050001,138161-57414P_( AOI 3 ),818300-26730730,4,302,2627,3,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953187744\Region00302.png,8,0,0,402,29,357,90,C:\HACARUS\result\VT-S730-2169\20260205\953187744\302-2627.png,0,0.000444558,11,0.8,0,2026.02.05,4:38
E21381615741400035532,R180601,138161-57414P_( AOI 3 ),812100-29910730,2,1043,4766,4,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953187845\Region01043.png,8,0,0,249,40,199,140,C:\HACARUS\result\VT-S730-2169\20260205\953187845\1043-4766.png,1,0.999999995,11,0.8,0,2026.02.05,4:39
E2138161479C100062002,L050001,138161-479C1P_( AOI 3 ),818300-26730730,4,302,2627,3,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953190459\Region00302.png,8,0,0,402,29,358,90,C:\HACARUS\result\VT-S730-2169\20260205\953190459\302-2627.png,0,0.016492469,11,0.8,0,2026.02.05,5:23
E2138161479C100062082,R180601,138161-479C1P_( AOI 3 ),812100-29910730,2,2134,13107,6,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953190660\Region02134.png,8,0,0,249,41,194,141,C:\HACARUS\result\VT-S730-2169\20260205\953190660\2134-13107.png,1,0.999999989,11,0.8,0,2026.02.05,5:26
E2138161479C100061352,R180601,138161-479C1P_( AOI 3 ),812100-29910730,2,2134,13107,6,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953192061\Region02134.png,8,0,0,249,40,201,140,C:\HACARUS\result\VT-S730-2169\20260205\953192061\2134-13107.png,1,0.999999997,11,0.8,0,2026.02.05,5:50
E2138161479C100065162,R040201,138161-479C1P_( AOI 3 ),812100-26010730,2,351,2818,3,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953195868\Region00351.png,8,0,180,6,228,47,132,C:\HACARUS\result\VT-S730-2169\20260205\953195868\351-2818.png,1,0.9648641,11,0.8,0,2026.02.05,6:53
E2138161479C100063002,L050001,138161-479C1P_( AOI 3 ),818300-26730730,4,1963,12745,6,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953197321\Region01963.png,8,0,0,402,29,356,90,C:\HACARUS\result\VT-S730-2169\20260205\953197321\1963-12745.png,0,0.00140081,11,0.8,0,2026.02.05,7:17
E2138161479C100064082,L050101,138161-479C1P_( AOI 3 ),818300-26730730,3,1964,12748,6,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953198517\Region01964.png,8,0,360,402,196,359,257,C:\HACARUS\result\VT-S730-2169\20260205\953198517\1964-12748.png,0,0.128978108,11,0.8,0,2026.02.05,7:37
E2138161479C100064612,R022301,138161-479C1P_( AOI 3 ),812100-26810730,2,343,2800,3,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953202906\Region00343.png,8,1,0,389,118,334,211,C:\HACARUS\result\VT-S730-2169\20260205\953202906\343-2800.png,1,0.629368763,14,0.5,0,2026.02.05,8:50
E2138161479C100065242,R180601,138161-479C1P_( AOI 3 ),812100-29910730,2,2134,13107,6,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953205348\Region02134.png,8,0,0,249,41,199,141,C:\HACARUS\result\VT-S730-2169\20260205\953205348\2134-13107.png,1,0.999999982,11,0.8,0,2026.02.05,9:31
E2138161479C100059962,R180601,138161-479C1P_( AOI 3 ),812100-29910730,2,493,3064,3,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953206500\Region00493.png,8,0,0,249,40,197,140,C:\HACARUS\result\VT-S730-2169\20260205\953206500\493-3064.png,1,0.999996297,11,0.8,0,2026.02.05,9:50
E2138161479C100060182,L050001,138161-479C1P_( AOI 3 ),818300-26730730,3,302,2626,3,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953207603\Region00302.png,8,0,0,402,196,358,257,C:\HACARUS\result\VT-S730-2169\20260205\953207603\302-2626.png,0,0.014193056,11,0.8,0,2026.02.05,10:08
E2138161479C100060312,R180601,138161-479C1P_( AOI 3 ),812100-29910730,2,493,3064,3,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953207754\Region00493.png,8,0,0,249,41,197,141,C:\HACARUS\result\VT-S730-2169\20260205\953207754\493-3064.png,1,0.999999972,11,0.8,0,2026.02.05,10:11
E2138161479C100063532,L050101,138161-479C1P_( AOI 3 ),818300-26730730,3,1964,12748,6,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953208200\Region01964.png,8,0,360,402,196,358,257,C:\HACARUS\result\VT-S730-2169\20260205\953208200\1964-12748.png,0,0.006933039,11,0.8,0,2026.02.05,10:18
E2138161479C100062542,R180601,138161-479C1P_( AOI 3 ),812100-29910730,2,2134,13107,6,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953210602\Region02134.png,8,0,0,249,41,195,141,C:\HACARUS\result\VT-S730-2169\20260205\953210602\2134-13107.png,1,0.999996551,11,0.8,0,2026.02.05,10:59
E2138161479C100060462,R180601,138161-479C1P_( AOI 3 ),812100-29910730,2,2134,13107,6,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953212150\Region02134.png,8,0,0,249,41,197,141,C:\HACARUS\result\VT-S730-2169\20260205\953212150\2134-13107.png,1,0.994452934,11,0.8,0,2026.02.05,11:24
E2138161479C100060092,R180601,138161-479C1P_( AOI 3 ),812100-29910730,2,2134,13107,6,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953213246\Region02134.png,8,0,0,249,40,195,140,C:\HACARUS\result\VT-S730-2169\20260205\953213246\2134-13107.png,1,0.99999999,11,0.8,0,2026.02.05,11:42
E2138161479C100061662,R040201,138161-479C1P_( AOI 3 ),812100-26010730,1,1997,12832,6,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953218177\Region01997.png,8,0,0,381,129,341,224,C:\HACARUS\result\VT-S730-2169\20260205\953218177\1997-12832.png,1,0.959801843,11,0.8,0,2026.02.05,13:05
E2138161479C100061562,R180601,138161-479C1P_( AOI 3 ),812100-29910730,2,2134,13107,6,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0953218776\Region02134.png,8,0,0,249,41,200,141,C:\HACARUS\result\VT-S730-2169\20260205\953218776\2134-13107.png,1,0.987510192,11,0.8,0,2026.02.05,13:15
